Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-04-15,1098.2,16211.25,219886.45,55056.75,47979.5,0,0,133.52,429.5,14571.6,20257,0,0,0,63000,51240.7,31667.95,31977.63,149.95,817.95,2172.9,8888.3,0,0,0,0,97.37,0,745,70000,324.9,323.5,210,240,1546,0,0,0,480,0,0,0,0
2024-04-16,12318.95,42222.51,126354.73,46424.9,9554.43,0,2673.44,16.69,1454.4,20051.6,7522.6,678.5,989.48,153975.63,9964.61,21128.6,31120.14,103373.18,352,1554,2636.15,17023.22,0,0,0,0,22.47,97.2,0,660.01,0,0,0,0,510,0,0,0,479.8,0,0,0,0
2024-04-17,3554.7,156307.13,354070.05,39543.15,56217.53,0,1736.2,50.07,756,7367,113368.82,0,368.69,466132,17237.1,94705,3985.94,13442,32,255,1277.1,98,0,112.5,0,59.95,40,108,0,2265,0,0,105,240,420,0,0,0,240,0,0,0,0
2024-04-18,2567.65,75875.97,2121947.4,34396.1,19427.82,0,2918.15,847.3,5328.45,24803.85,99157.49,73366.5,1282.4,1950,44363.2,7676.3,48094.65,55488.29,0,0,1473.6,841.9,0,0,0,0,984,0,0,3425,239.6,0,0,0,77,0,0,0,0,0,0,0,0
2024-04-22,48856.1,12369440.18,290282.66,42049.6,17130.34,0,972.9,0,19668.15,19143.44,348595.34,0,3519,339899.81,27882.7,2579,2279.84,15783.21,140,17880,1048.9,578.2,0,0,0,23.98,8,459,745,0,227.65,0,0,0,175,0,0,0,0,0,0,0,0
2024-04-23,3276,13003.1,100817.5,13618.1,14854.93,0,254.3,0,2588.4,9269,12827.95,0,7653.9,14899.9,1008,23635.02,22887.2,12389.5,68.97,0,1678.3,523.1,0,0,0,0,0,486,3300,0,0,0,0,0,391340.6,0,0,0,0,0,0,0,0
2024-04-24,3051.47,126324.55,164692.32,9005.68,129710.77,0,5146.55,16150,3078.8,66503.32,35318.3,17667,458,12997.4,528,18914.5,21452,64646.35,3708,14800,1177.8,1506.04,0,56.2,0,50,16,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-25,839.75,29754.77,639681.18,2171402.42,29372.7,0,0,0,4803.65,389.8,2167,0,30650.59,3499.3,240,9447092.56,34321.1,923.73,1206,0,3684.8,991.7,0,0,0,1105,0,1198.96,3725,0,0,0,0,0,214,0,0,0,0,0,0,0,0
2024-04-26,587.85,101051,299858.31,38848.07,306913.84,0,3200.2,16640,2525.18,24274.8,873746.42,1437.5,39557.64,25049.84,1343.6,8996539.5,11145.75,256242.95,35,156,797.88,5002.65,0,1462.47,0,1009,0,308272.8,2235,3425,575.04,1800,93653.85,0,70,0,0,0,1955,0,0,0,0
2024-04-29,3863.39,69431.46,295743.02,1286456.8,110373.17,0,531,25408.28,675.48,67886.5,5981.6,73370,0,28433.53,19976,38056.5,18984.9,18083.68,374,0,1784.09,1178.19,0,0,0,100,24,6584.64,740,10000,1995,323.7,0,0,4305,0,0,0,0,0,0,0,0
