Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-03-06,55.58,15568.87,151.81,2227.86,82.96,33.19,764.25,60.58,37.65,77.83,2557.42,94.84,0,297.83,34.51,277.68,50.03,5.71,18.91,0,397.56,700.25,0,0,0,8.3,0,33.55,50.65,284.8,0,0,0,0,2698.74,0,0,0,0,0,0,0,0
2024-03-07,53.34,935.37,1713.74,2074.98,746.97,13.69,35.71,11.22,27.62,207.1,8249.89,7.6,0,4654.71,3566.98,38.71,374.84,20.57,50.76,1641.8,124.25,139.28,0,0,0,60.82,2.21,142.02,0,96.21,0,0,0,0,1107.6,0,0,0,0,0,0,0,0
2024-03-08,4.15,945.62,629.65,4746.06,25.21,2.08,0,26.42,68.92,40.69,4979.94,133.43,0,397.26,28.49,2046.75,117.97,1362.68,102.72,6.47,21.53,43.02,0,0,0,3.32,9.52,274.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-11,432.49,668.33,834.42,27.56,50.27,0,0.97,0,20.72,361.53,6519.29,0,1204.75,539.84,2180.05,626.59,2200.95,157.65,108.27,378.81,15.32,14.31,0,0,0,9.95,0.88,46.85,0,0,0,0,0,0,14256.58,0,0,0,0,0,0,0,0
2024-03-12,15.33,1829.97,4504.12,774.09,542.95,4.14,769.01,2.23,40.75,20.22,2084.36,52.62,0,362.43,746.63,1515.74,28.07,375.91,0,0,250.75,47.29,0,0,0,0,0,0,0,0,0,18.78,0,0,0,0,0,0,9.94,0,0,0,0
2024-03-13,153.1,961.32,3994.06,20878.74,474.62,12,58.33,44.43,27.98,115.83,0,2317.88,39.53,564.27,637.42,29.16,2.5,361.13,0,16.55,140.29,15.94,0,0,0,0,0,0,0,16200.06,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-14,4.19,12949.94,1765.22,236.26,90.69,10.76,90.23,692.02,1.81,710.18,76.09,44.15,0,1190.13,1705.38,142.71,28.09,113.54,0,0,24.41,318.3,0,0,0,8.83,0.22,0,0,206.84,0,0,0,0,53.73,0,0,0,0,0,0,0,0
2024-03-15,87.14,909.28,3504.39,84.11,67.51,23.62,10.33,106.06,39.15,342.34,500.87,4341.23,47.19,1702.25,1646.43,1887.54,34.81,165.23,59.42,3.03,41.65,176.2,0,0.52,0,0.28,3.31,44.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-18,341.85,709.25,1093.74,120.44,293.24,1.65,0,7.49,15.28,280.8,2155.44,0,425.94,1829.16,31.97,274.41,59.4,450.54,10.02,0,136.88,423.94,0,0,0,0,3.08,26.86,0,351.15,0,0,0,0,2.33,0,0,0,3.3,0,0,0,0
2024-03-20,52.93,937.34,2586.34,21.7,292.5,0,1.29,913.53,2.07,980.64,10705.7,0,14.79,3190.87,25.34,204.56,60.43,105.8,18.46,0,10.66,36.86,0,0,0,0,0,1.5,16.82,334.3,0,3.57,0,0,0,0,0,0,3.31,0,0,0,0
