Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-07-11,12,31,38,10,10,0,5,10,12,6,11,2,7,4,0,23,9,12,1,1,22,4,0,1,0,0,1,14,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0
2024-07-12,13,47,45,46,7,0,6,7,19,8,15,1,10,12,5,24,8,20,5,5,28,12,0,1,0,1,1,11,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2024-07-15,18,36,59,29,12,0,8,0,6,7,7,4,7,9,1,28,15,16,3,1,17,8,0,2,0,5,2,7,0,0,1,3,0,1,4,0,0,0,0,0,0,0,0
2024-07-16,16,32,41,23,10,0,11,4,8,7,6,0,10,7,4,22,11,7,13,2,16,10,0,7,0,0,1,2,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0
2024-07-17,12,57,64,31,25,0,10,9,15,11,15,3,6,6,6,24,31,16,5,1,14,10,0,7,0,1,2,6,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
2024-07-18,11,55,52,33,16,0,4,3,18,3,12,0,7,8,2,23,24,16,7,0,22,7,0,6,0,5,0,8,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2024-07-19,10,35,24,30,9,0,0,7,11,4,7,6,2,3,5,22,18,11,2,0,7,9,0,2,0,5,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-07-22,18,34,41,24,7,0,0,2,6,7,9,0,5,5,9,16,19,14,4,0,15,9,0,5,0,7,0,9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-23,12,45,25,24,9,0,6,7,13,7,5,0,9,8,9,21,16,22,2,4,17,7,0,7,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-25,4,44,40,36,13,0,6,2,11,8,11,2,5,14,5,30,13,22,2,2,13,0,0,3,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-07-26,7,49,65,26,19,0,2,4,10,25,10,6,14,7,11,24,18,29,4,1,21,6,0,3,0,5,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2024-07-29,1,15,15,8,2,0,1,0,4,3,0,0,2,0,0,6,2,5,5,0,11,4,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2024-07-30,0,3,8,0,2,0,2,0,0,0,0,0,0,0,0,2,4,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-31,1,20,27,9,7,0,4,4,3,0,12,3,2,2,0,14,7,6,6,1,10,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-01,1,36,32,19,2,0,2,5,4,2,2,1,6,2,0,16,4,9,3,0,16,6,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
